node_i,node_j,exact_energy,projected_energy,residual_norm,reachable_rank
6,36,inf,104.88757319200583,0.0002714692792221151,14
6,37,inf,354.4229410770568,0.00024827964678849197,14
6,38,inf,5917.34114156186,0.00024331565419411766,14
6,39,inf,44514.540235585984,0.00031935174230675773,14
6,40,inf,4694.749795915171,0.0001873222746853233,14
6,41,inf,2084.888471971936,0.00018871750909433334,14
6,42,inf,997.8161801463098,0.0002233152131709579,14
6,43,inf,1010.6650514564144,0.00023897685647229324,14
6,44,inf,417.18149393888876,0.00022374815393712906,14
6,45,inf,654.3326028065102,0.0002194310155340948,14
6,46,inf,1268.3495836088318,0.00021559208767729424,14
6,47,inf,19387.136680650987,0.00021463126772567178,14
6,48,inf,7083.094699401764,0.00027343125643154,14
6,49,inf,5753.99381510675,0.00026814304947870963,14
6,50,inf,2373.2774006216573,0.00026522788577867094,14
6,51,inf,959.8105653123464,0.00025572916286125053,14
6,52,inf,487.1214044786794,0.00024672009827630086,14
6,53,inf,1247.360042937436,0.0002346214827598137,14
6,54,inf,4264.946262794411,0.0002686412824846826,14
6,55,inf,19184.385209998432,0.00027212586934494674,14
6,56,inf,17666.236492149346,0.00039583375719224456,14
6,57,inf,9634.856661394477,0.0003186243692532097,14
6,58,inf,3211.821236529836,0.00026717159970689294,14
6,59,inf,1272.0119489129565,0.00023602307254153896,14
6,60,inf,2464.6112908965088,0.00026132006367220135,14
6,61,inf,3074.5225277040613,0.00025024753047515154,14
6,62,inf,8013.942073411077,0.00027039363418629426,14
6,63,inf,28883.974674067013,0.00033555427309548796,14
7,8,inf,58259.216462196695,0.0008406604071078179,13
7,9,inf,13563.0786121029,0.0007856243362855367,13
7,10,inf,3604.030531264575,0.0006926951574174233,13
7,11,inf,99671.54452007846,0.0004428072180460612,14
7,12,inf,11659.808580357108,0.0005637860733356089,14
7,13,inf,3730.2913697788676,0.0006579605875234858,13
7,14,inf,22226.71866216532,0.0007702160325395071,13
7,15,inf,92269.5120465083,0.0008275600796834739,13
7,16,inf,37827.93154450053,0.0007421123409262506,14
7,17,inf,17328.86978307473,0.0006303919312696018,14
7,18,inf,116469.50064712766,0.00037310466275796334,15
7,19,inf,32064.23849794489,0.000271379205406625,15
7,20,inf,50596.27448451271,0.0002925629329311141,15
7,21,inf,62559.92547712603,0.0004310613591269013,14
7,22,inf,14533.40498517843,0.00060526239437796,13
7,23,inf,41897.19581842027,0.0007234187065721647,13
7,24,inf,22163.559997460437,0.0006113467432255011,14
7,25,inf,15877.093033940719,0.0004530735919249737,14
7,26,inf,23318.69179120934,0.0002580043973315493,15
7,27,inf,4697.9437954331115,0.0002429909859047021,15
7,28,inf,7401.626861468532,0.0002590882018756617,15
7,29,inf,1217.9884385672683,0.0002912495076209155,14
7,30,inf,14117.536583145778,0.00038073605973897685,14
7,31,inf,55166.68133568765,0.0005348347140834061,14
7,32,inf,14706.585925404266,0.0004039684433041199,14
7,33,inf,8443.107294940837,0.00031107736204337346,14
7,34,inf,14720.858382628105,0.000238939550422409,15
7,35,inf,6911.090529866332,0.00023390823143787446,15
7,36,inf,6187.403967704595,0.0002638154566010091,15
7,37,inf,984.045681626067,0.00025236265248113857,14
7,38,inf,5794.305526896802,0.0002582304705243849,14
7,39,inf,39797.29486785079,0.00034013441153873963,14
7,40,inf,15980.87609158879,0.0002094392448922554,14
7,41,inf,12703.353969672418,0.00020512057936676692,14
7,42,inf,10628.630670856333,0.00023492581798872624,14
7,43,inf,9807.25105563247,0.00025324577850313,14
7,44,inf,10575.293559869007,0.00023116879185883132,14
7,45,inf,8926.534676467549,0.00022724615638360687,14
7,46,inf,10681.536890400286,0.00021810762187003465,14
